Constituency,District Names,Factory Count,state,Type,Margin %,isMPMinister,centerAlignment,stateAlignment,rs_min_mplad_district,is_backward,ministry_comp_intersection,amount,non_backward,not_aligned,Total,Totalcsr,Avg ADI
SRIPERUMBUDUR,sriperumbudur,25,TAMIL NADU,GEN,8,0,0,1,0,0,0,800000000,1,0,264,1,18
SULTANPUR,sultanpur,3,UTTAR PRADESH,GEN,18.5,0,1,0,0,0,0,100000000,1,0,6,0,10
SUNDARGARH,sundargarh,1,ODISHA,ST,1.9,1,1,0,0,0,0,0,1,0,29,0,13
SUPAUL,supaul,29,BIHAR,GEN,6.1,0,0,0,0,0,0,0,1,1,1,0,8
SURAT,surat,1,GUJARAT,GEN,56.2,0,1,1,0,0,0,21930000000,1,0,338,6,18
SURENDRANAGAR,surendranagar,338,GUJARAT,GEN,21.5,0,1,1,0,0,0,2950000000,1,0,6,0,14
SURGUJA,,,CHHATTISGARH,ST,12.4,0,1,1,0,0,0,650000000,1,0,4,0,8
TAMLUK,,,WEST BENGAL,GEN,18.4,0,0,1,0,0,0,0,1,0,0,0,14
TEHRI GARHWAL,,,UTTARAKHAND,GEN,24.8,0,1,0,0,0,0,33850000000,1,0,106,1,16
TENKASI,,,TAMIL NADU,SC,15.9,0,0,1,0,1,0,6790000000,0,0,84,2,18
TEZPUR,,,ASSAM,GEN,8.8,0,1,0,0,0,0,12290000000,1,0,11,0,9
THANE,,,MAHARASHTRA,GEN,26.7,0,1,1,0,0,0,18690000000,1,0,335,14,17
THANJAVUR,thanjavur,325,TAMIL NADU,GEN,14.2,0,0,1,0,0,0,5490000000,1,0,5,1,16
THENI,theni,5,TAMIL NADU,GEN,29.2,0,0,1,0,0,0,2740000000,1,0,22,2,17
THIRUVANANTHAPURAM,thiruvananthapuram,3,KERALA,GEN,1.8,0,0,1,0,0,0,2640000000,1,0,5,2,16
THOOTHUKKUDI,thoothukudi,5,TAMIL NADU,GEN,13.5,0,0,1,0,0,0,2540000000,1,0,21,2,18
THRISSUR,thrissur,1,KERALA,GEN,4.2,0,0,0,0,0,0,5460000000,1,1,5,2,16
TIKAMGARH,,,MADHYA PRADESH,SC,27.2,0,1,1,0,1,0,0,0,0,1,0,10
TIRUCHIRAPPALLI,tiruchirappalli,14,TAMIL NADU,GEN,15.2,0,0,1,0,0,0,2740000000,1,0,18,0,15
TIRUNELVELI,tirunelveli,5,TAMIL NADU,GEN,13.1,0,0,1,0,0,0,5180000000,1,0,78,0,18
TIRUPATI,,,ANDHRA PRADESH,SC,3.1,0,0,0,0,0,0,7470000000,1,1,54,4,14
TIRUPPUR,tiruppur,78,TAMIL NADU,GEN,17.1,0,0,1,0,0,0,790000000,1,0,19,1,18
TIRUVALLUR,tiruvallur,37,TAMIL NADU,SC,25.8,0,0,1,0,0,0,60000000,1,0,134,1,18
TIRUVANNAMALAI,tiruvannamalai,136,TAMIL NADU,GEN,15.8,0,0,1,0,0,0,216390000000,1,0,32,1,16
TONK-SAWAI MADHOPUR,tonk,5,RAJASTHAN,GEN,13,0,1,1,0,0,0,130000000,1,0,9,0,12
TRIPURA EAST,,,TRIPURA,ST,50.9,0,0,1,0,1,0,1020000000,0,0,0,0,15
TRIPURA WEST,,,TRIPURA,GEN,46.9,0,0,1,0,0,0,800000000,1,0,0,0,15
TUMKUR,tumkur,1,KARNATAKA,GEN,6.7,0,0,1,0,0,0,2100000000,1,0,8,2,14
TURA,,,MEGHALAYA,ST,8.7,0,1,0,0,0,0,0,1,0,0,0,10
UDAIPUR,udaipur,8,RAJASTHAN,ST,19.8,0,1,1,0,0,0,3250000000,1,0,12,1,9
UDHAMPUR,udhampur,201,JAMMU AND KASHMIR,GEN,5.9,1,1,0,0,0,1,70000000,1,0,3,1,13
UDUPI CHIKMAGALUR,udupi,2,KARNATAKA,GEN,17.6,0,1,0,0,0,0,2550000000,1,0,13,1,17
UJIARPUR,,,BIHAR,GEN,7,0,1,1,0,0,0,0,1,0,7,0,8
UJJAIN,ujjain,10,MADHYA PRADESH,SC,30.5,0,1,1,1,0,0,990000000,1,0,18,1,13
ULUBERIA,,,WEST BENGAL,GEN,17,0,0,1,0,0,0,570000000,1,0,79,3,18
UNNAO,unnao,4,UTTAR PRADESH,GEN,25.8,0,1,0,0,0,0,180000000,1,0,6,0,7
UTTARA KANNADA,uttara kannada,1,KARNATAKA,GEN,14.1,0,1,0,0,0,0,640000000,1,0,37,1,15
VADAKARA,,,KERALA,GEN,0.3,0,0,1,0,0,0,560000000,1,0,1,0,16
VADODARA,vadodara,2,GUJARAT,GEN,49.1,0,1,1,0,0,0,9190000000,1,0,372,9,18
VAISHALI,vaishali,362,BIHAR,GEN,10.7,0,1,0,0,1,0,2460000000,0,0,9,0,8
VALMIKI NAGAR,,,BIHAR,GEN,13.1,0,1,1,0,0,0,0,1,0,0,0,8
VALSAD,valsad,6,GUJARAT,ST,18.5,0,1,1,0,0,0,6150000000,1,0,127,3,16
VARANASI,varanasi,2,UTTAR PRADESH,GEN,36.1,1,1,0,0,0,1,4350000000,1,0,11,2,15
VELLORE,"vellore, vellore dist ",28,TAMIL NADU,GEN,6.1,0,0,1,0,0,0,216040000000,1,0,27,1,18
VIDISHA,,,MADHYA PRADESH,GEN,38.3,1,1,1,0,1,1,8580000000,0,0,111,5,12
VIJAYAWADA,vijayawada,5,ANDHRA PRADESH,GEN,6.3,0,1,1,1,0,0,6760000000,1,0,27,1,17
VILUPPURAM,villupuram,4,TAMIL NADU,SC,18.1,0,0,1,0,0,0,0,1,0,14,0,14
VIRUDHUNAGAR,virudhunagar,1,TAMIL NADU,GEN,14.4,0,0,1,0,1,0,4190000000,0,0,25,4,18
VISAKHAPATNAM,"visakhapatnam, vishakhapatnam ",25,ANDHRA PRADESH,GEN,7.8,0,1,0,0,1,0,30420000000,0,0,136,6,14
VIZIANAGARAM,vizianagaram,94,ANDHRA PRADESH,GEN,9.5,1,1,1,0,1,1,5970000000,0,0,47,2,13
WARDHA,wardha,11,MAHARASHTRA,GEN,21.3,0,1,1,0,0,0,15050000000,1,0,7,0,16
WAYANAD,,,KERALA,GEN,2.3,0,0,1,0,1,0,950000000,0,0,0,0,16
WEST DELHI,west delhi,1,DELHI,GEN,19.9,0,1,0,0,0,0,49790000000,1,0,4,0,18
YAVATMAL-WASHIM,yavatmal,2,MAHARASHTRA,GEN,9.1,0,1,1,0,0,0,20000000,1,0,1,0,11
ZAHIRABAD,zaheerabad,14,TELANGANA,GEN,13.2,0,0,1,0,0,0,3510000000,1,0,112,3,14
