,District,State,LokSabhaConstituency,Constituency,No,Type,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,PartyShort
285,Bandipore,JAMMU AND KASHMIR,BARAMULLA,BARAMULLA,1.0,GEN,Muzaffar Hussain Baig,Jammu & Kashmir Peoples Democratic Party,1190745.0,465992.0,39.1 %,29219.0,6.3%,J&KPDP
286,Baramulla,JAMMU AND KASHMIR,BARAMULLA,BARAMULLA,1.0,GEN,Muzaffar Hussain Baig,Jammu & Kashmir Peoples Democratic Party,1190745.0,465992.0,39.1 %,29219.0,6.3%,J&KPDP
287,Budgam,JAMMU AND KASHMIR,SRINAGAR,SRINAGAR,2.0,GEN,Tariq Hameed Karra,Jammu & Kashmir Peoples Democratic Party,1205233.0,312212.0,25.9 %,42280.0,13.5%,PDP
288,Doda,JAMMU AND KASHMIR,UDHAMPUR,UDHAMPUR,5.0,GEN,Dr. Jitendra Singh,Bharatiya Janta Party,1490244.0,1041758.0,69.9 %,60976.0,5.9%,BJP
289,Ganderbal,JAMMU AND KASHMIR,SRINAGAR,SRINAGAR,2.0,GEN,Tariq Hameed Karra,Jammu & Kashmir Peoples Democratic Party,1205233.0,312212.0,25.9 %,42280.0,13.5%,PDP
290,Jammu,JAMMU AND KASHMIR,JAMMU,JAMMU,6.0,GEN,Jugal Kishore,Bharatiya Janta Party,1848155.0,1253593.0,67.8 %,257280.0,20.5%,BJP
291,Kargil,JAMMU AND KASHMIR,LADAKH,LADAKH,4.0,GEN,Thupstan Chhewang,Bharatiya Janta Party,166763.0,118029.0,70.8 %,36.0,0.0%,BJP
292,Kathua,JAMMU AND KASHMIR,UDHAMPUR,UDHAMPUR,5.0,GEN,Dr. Jitendra Singh,Bharatiya Janta Party,1490244.0,1041758.0,69.9 %,60976.0,5.9%,BJP
293,Kishtwar,JAMMU AND KASHMIR,UDHAMPUR,UDHAMPUR,5.0,GEN,Dr. Jitendra Singh,Bharatiya Janta Party,1490244.0,1041758.0,69.9 %,60976.0,5.9%,BJP
294,Kulgam,JAMMU AND KASHMIR,ANANTNAG,ANANTNAG,3.0,GEN,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,1301023.0,375279.0,28.8 %,65417.0,17.4%,J&KPDP
295,Kupwara,JAMMU AND KASHMIR,BARAMULLA,BARAMULLA,1.0,GEN,Muzaffar Hussain Baig,Jammu & Kashmir Peoples Democratic Party,1190745.0,465992.0,39.1 %,29219.0,6.3%,J&KPDP
296,Leh,JAMMU AND KASHMIR,LADAKH,LADAKH,4.0,GEN,Thupstan Chhewang,Bharatiya Janta Party,166763.0,118029.0,70.8 %,36.0,0.0%,BJP
297,Poonch,JAMMU AND KASHMIR,JAMMU,JAMMU,6.0,GEN,Jugal Kishore,Bharatiya Janta Party,1848155.0,1253593.0,67.8 %,257280.0,20.5%,BJP
298,Pulwama,JAMMU AND KASHMIR,ANANTNAG,ANANTNAG,3.0,GEN,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,1301023.0,375279.0,28.8 %,65417.0,17.4%,J&KPDP
299,Rajouri,JAMMU AND KASHMIR,JAMMU,JAMMU,6.0,GEN,Jugal Kishore,Bharatiya Janta Party,1848155.0,1253593.0,67.8 %,257280.0,20.5%,BJP
300,Ramban,JAMMU AND KASHMIR,UDHAMPUR,UDHAMPUR,5.0,GEN,Dr. Jitendra Singh,Bharatiya Janta Party,1490244.0,1041758.0,69.9 %,60976.0,5.9%,BJP
301,Reasi,JAMMU AND KASHMIR,UDHAMPUR,UDHAMPUR,5.0,GEN,Dr. Jitendra Singh,Bharatiya Janta Party,1490244.0,1041758.0,69.9 %,60976.0,5.9%,BJP
302,Samba,JAMMU AND KASHMIR,JAMMU,JAMMU,6.0,GEN,Jugal Kishore,Bharatiya Janta Party,1848155.0,1253593.0,67.8 %,257280.0,20.5%,BJP
303,Shopian,JAMMU AND KASHMIR,ANANTNAG,ANANTNAG,3.0,GEN,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,1301023.0,375279.0,28.8 %,65417.0,17.4%,J&KPDP
304,Srinagar,JAMMU AND KASHMIR,SRINAGAR,SRINAGAR,2.0,GEN,Tariq Hameed Karra,Jammu & Kashmir Peoples Democratic Party,1205233.0,312212.0,25.9 %,42280.0,13.5%,PDP
305,Udhampur,JAMMU AND KASHMIR,UDHAMPUR,UDHAMPUR,5.0,GEN,Dr. Jitendra Singh,Bharatiya Janta Party,1490244.0,1041758.0,69.9 %,60976.0,5.9%,BJP
306,Bokaro,JHARKHAND,DHANBAD,DHANBAD,7.0,GEN,Pashupati Nath Singh,Bharatiya Janta Party,1889994.0,1143902.0,60.5 %,292954.0,25.6%,BJP
307,Bokaro,JHARKHAND,GIRIDIH,GIRIDIH,6.0,GEN,Ravindra Kumar Pandey,Bharatiya Janta Party,1515137.0,969997.0,64.0 %,40313.0,4.2%,BJP
308,Chatra,JHARKHAND,CHATRA,CHATRA,4.0,GEN,Sunil Kumar Singh,Bharatiya Janta Party,1312545.0,712971.0,54.3 %,178026.0,25.0%,BJP
309,Deoghar,JHARKHAND,DUMKA,DUMKA,2.0,ST,Shibu Soren,Jharkhand Mukti Morcha,1247155.0,903060.0,72.4 %,39030.0,4.3%,JMM
310,Deoghar,JHARKHAND,GODDA,GODDA,3.0,GEN,Nishikant Dubey,Bharatiya Janta Party,1590628.0,1049442.0,66.0 %,60682.0,5.8%,BJP
311,Dhanbad,JHARKHAND,DHANBAD,DHANBAD,7.0,GEN,Pashupati Nath Singh,Bharatiya Janta Party,1889994.0,1143902.0,60.5 %,292954.0,25.6%,BJP
312,Dhanbad,JHARKHAND,GIRIDIH,GIRIDIH,6.0,GEN,Ravindra Kumar Pandey,Bharatiya Janta Party,1515137.0,969997.0,64.0 %,40313.0,4.2%,BJP
313,Dumka,JHARKHAND,DUMKA,DUMKA,2.0,ST,Shibu Soren,Jharkhand Mukti Morcha,1247155.0,903060.0,72.4 %,39030.0,4.3%,JMM
314,Dumka,JHARKHAND,GODDA,GODDA,3.0,GEN,Nishikant Dubey,Bharatiya Janta Party,1590628.0,1049442.0,66.0 %,60682.0,5.8%,BJP
315,East Singhbhum,JHARKHAND,JAMSHEDPUR,JAMSHEDPUR,9.0,GEN,Bidyut Baran Mahato,Bharatiya Janta Party,1581665.0,1049140.0,66.3 %,99876.0,9.5%,BJP
316,Garhwa,JHARKHAND,PALAMAU,PALAMAU,13.0,SC,Vishnu Dayal Ram,Bharatiya Janta Party,1645957.0,977323.0,59.4 %,263942.0,27.0%,BJP
317,Giridih,JHARKHAND,GIRIDIH,GIRIDIH,6.0,GEN,Ravindra Kumar Pandey,Bharatiya Janta Party,1515137.0,969997.0,64.0 %,40313.0,4.2%,BJP
318,Giridih,JHARKHAND,KODARMA,KODARMA,5.0,GEN,Ravindra Kr. Ray,Bharatiya Janta Party,1639629.0,1024906.0,62.5 %,98654.0,9.6%,BJP
319,Godda,JHARKHAND,GODDA,GODDA,3.0,GEN,Nishikant Dubey,Bharatiya Janta Party,1590628.0,1049442.0,66.0 %,60682.0,5.8%,BJP
320,Gumla,JHARKHAND,KHUNTI,KHUNTI,11.0,ST,Karia Munda,Bharatiya Janta Party,1111852.0,736955.0,66.3 %,92248.0,12.5%,BJP
321,Gumla,JHARKHAND,LOHARDAGA,LOHARDAGA,12.0,ST,Sudarshan Bhagat,Bharatiya Janta Party,1119144.0,651460.0,58.2 %,6489.0,1.0%,BJP
322,Hazaribag,JHARKHAND,HAZARIBAGH,HAZARIBAGH,14.0,GEN,Jayant Sinha,Bharatiya Janta Party,1518831.0,967152.0,63.7 %,159128.0,16.5%,BJP
323,Hazaribag,JHARKHAND,KODARMA,KODARMA,5.0,GEN,Ravindra Kr. Ray,Bharatiya Janta Party,1639629.0,1024906.0,62.5 %,98654.0,9.6%,BJP
324,Koderma,JHARKHAND,KODARMA,KODARMA,5.0,GEN,Ravindra Kr. Ray,Bharatiya Janta Party,1639629.0,1024906.0,62.5 %,98654.0,9.6%,BJP
325,Lohardaga,JHARKHAND,LOHARDAGA,LOHARDAGA,12.0,ST,Sudarshan Bhagat,Bharatiya Janta Party,1119144.0,651460.0,58.2 %,6489.0,1.0%,BJP
326,Pakur,JHARKHAND,RAJMAHAL,RAJMAHAL,1.0,ST,Vijay Kumar Hansdak,Jharkhand Mukti Morcha,1353172.0,951563.0,70.3 %,41337.0,4.3%,JMM
327,Palamu,JHARKHAND,CHATRA,CHATRA,4.0,GEN,Sunil Kumar Singh,Bharatiya Janta Party,1312545.0,712971.0,54.3 %,178026.0,25.0%,BJP
328,Palamu,JHARKHAND,PALAMAU,PALAMAU,13.0,SC,Vishnu Dayal Ram,Bharatiya Janta Party,1645957.0,977323.0,59.4 %,263942.0,27.0%,BJP
329,Ranchi,JHARKHAND,KHUNTI,KHUNTI,11.0,ST,Karia Munda,Bharatiya Janta Party,1111852.0,736955.0,66.3 %,92248.0,12.5%,BJP
330,Ranchi,JHARKHAND,LOHARDAGA,LOHARDAGA,12.0,ST,Sudarshan Bhagat,Bharatiya Janta Party,1119144.0,651460.0,58.2 %,6489.0,1.0%,BJP
331,Ranchi,JHARKHAND,RANCHI,RANCHI,8.0,GEN,Ram Tahal Choudhary,Bharatiya Janta Party,1648464.0,1049783.0,63.7 %,199303.0,19.0%,BJP
332,Sahebganj,JHARKHAND,RAJMAHAL,RAJMAHAL,1.0,ST,Vijay Kumar Hansdak,Jharkhand Mukti Morcha,1353172.0,951563.0,70.3 %,41337.0,4.3%,JMM
333,West Singhbhum,JHARKHAND,KHUNTI,KHUNTI,11.0,ST,Karia Munda,Bharatiya Janta Party,1111852.0,736955.0,66.3 %,92248.0,12.5%,BJP
334,West Singhbhum,JHARKHAND,RANCHI,RANCHI,8.0,GEN,Ram Tahal Choudhary,Bharatiya Janta Party,1648464.0,1049783.0,63.7 %,199303.0,19.0%,BJP
335,West Singhbhum,JHARKHAND,SINGHBHUM,SINGHBHUM,10.0,ST,Laxman Giluwa,Bharatiya Janta Party,1152570.0,795286.0,69.0 %,87524.0,11.0%,BJP
336,Bagalkot,KARNATAKA,BAGALKOT,BAGALKOT,3.0,GEN,Gaddigoudar Parvtagouda Chandanagouda,Bharatiya Janta Party,1568620.0,1079310.0,68.8 %,116560.0,10.8%,BJP
337,Bellary,KARNATAKA,BELLARY,BELLARY,9.0,ST,B. Sreeramulu,Bharatiya Janta Party,1487945.0,1045772.0,70.3 %,85144.0,8.1%,BJP
338,Bellary,KARNATAKA,KOPPAL,KOPPAL,8.0,GEN,Karadi Sanganna Amarappa,Bharatiya Janta Party,1535105.0,1006508.0,65.6 %,32414.0,3.2%,BJP
339,Belgaum,KARNATAKA,BELGAUM,BELGAUM,2.0,GEN,Angadi Suresh Channabasappa,Bharatiya Janta Party,1581017.0,1078547.0,68.2 %,75860.0,7.0%,BJP
340,Belgaum,KARNATAKA,CHIKKODI,CHIKKODI,1.0,GEN,Prakash Babanna Hukkeri,Indian National Congress,1442296.0,1071103.0,74.3 %,3003.0,0.3%,INC
341,Belgaum,KARNATAKA,UTTARA KANNADA,UTTARA KANNADA,12.0,GEN,Anantkumar Hegde,Bharatiya Janta Party,1450599.0,1001038.0,69.0 %,140700.0,14.1%,BJP
342,Bangalore Rural,KARNATAKA,BANGALORE RURAL,BANGALORE RURAL,23.0,GEN,D K Suresh,Indian National Congress,2190397.0,1455244.0,66.4 %,231480.0,15.9%,INC
343,Bangalore Rural,KARNATAKA,CHIKKBALLAPUR,CHIKKBALLAPUR,27.0,GEN,M Veerappa Moily,Indian National Congress,1658342.0,1263274.0,76.2 %,9520.0,0.8%,INC
344,Bangalore Urban,KARNATAKA,BANGALORE CENTRAL,BANGALORE CENTRAL,25.0,GEN,P.C. Mohan,Bharatiya Janta Party,1931663.0,1074589.0,55.6 %,137500.0,12.8%,BJP
345,Bangalore Urban,KARNATAKA,BANGALORE NORTH,BANGALORE NORTH,24.0,GEN,D.V Sadananda Gowda,Bharatiya Janta Party,2401472.0,1356718.0,56.5 %,229764.0,16.9%,BJP
346,Bangalore Urban,KARNATAKA,BANGALORE RURAL,BANGALORE RURAL,23.0,GEN,D K Suresh,Indian National Congress,2190397.0,1455244.0,66.4 %,231480.0,15.9%,INC
347,Bangalore Urban,KARNATAKA,BANGALORE SOUTH,BANGALORE SOUTH,26.0,GEN,Ananth Kumar,Bharatiya Janta Party,1999882.0,1113726.0,55.7 %,228575.0,20.5%,BJP
348,Bidar,KARNATAKA,BIDAR,BIDAR,7.0,GEN,Bhagwanth Khuba,Bharatiya Janta Party,1600962.0,959384.0,59.9 %,92222.0,9.6%,BJP
349,Chamarajanagar,KARNATAKA,CHAMARAJANAGAR,CHAMARAJANAGAR,22.0,SC,R. Dhruvanarayana,Indian National Congress,1555779.0,1133029.0,72.8 %,141182.0,12.5%,INC
350,Chikkamagaluru,KARNATAKA,HASSAN,HASSAN,16.0,GEN,H.D. Devegowda,Janata Dal (Secular),1561336.0,1147172.0,73.5 %,100462.0,8.8%,JDS
351,Chikkamagaluru,KARNATAKA,UDUPI CHIKMAGALUR,UDUPI CHIKMAGALUR,15.0,GEN,Shobha Karandlaje,Bharatiya Janta Party,1387295.0,1034108.0,74.5 %,181643.0,17.6%,BJP
352,Chitradurga,KARNATAKA,CHITRADURGA,CHITRADURGA,18.0,SC,B.N.Chandrappa,Indian National Congress,1661272.0,1096499.0,66.0 %,101291.0,9.2%,INC
353,Dakshina Kannada,KARNATAKA,DAKSHINA KANNADA,DAKSHINA KANNADA,17.0,GEN,Nalin Kumar Kateel,Bharatiya Janta Party,1565281.0,1207474.0,77.1 %,143709.0,11.9%,BJP
354,Davangere,KARNATAKA,DAVANAGERE,DAVANAGERE,13.0,GEN,G M Siddeshwara,Bharatiya Janta Party,1522712.0,1114868.0,73.2 %,17607.0,1.6%,BJP
355,Dharwad,KARNATAKA,DHARWAD,DHARWAD,11.0,GEN,Pralhad Joshi,Bharatiya Janta Party,1579024.0,1041226.0,65.9 %,113657.0,10.9%,BJP
356,Gadag,KARNATAKA,BAGALKOT,BAGALKOT,3.0,GEN,Gaddigoudar Parvtagouda Chandanagouda,Bharatiya Janta Party,1568620.0,1079310.0,68.8 %,116560.0,10.8%,BJP
357,Gadag,KARNATAKA,HAVERI,HAVERI,10.0,GEN,Udasi Shivakumar Channabasappa,Bharatiya Janta Party,1558749.0,1115968.0,71.6 %,87571.0,7.8%,BJP
358,Hassan,KARNATAKA,HASSAN,HASSAN,16.0,GEN,H.D. Devegowda,Janata Dal (Secular),1561336.0,1147172.0,73.5 %,100462.0,8.8%,JDS
359,Haveri,KARNATAKA,DHARWAD,DHARWAD,11.0,GEN,Pralhad Joshi,Bharatiya Janta Party,1579024.0,1041226.0,65.9 %,113657.0,10.9%,BJP
360,Haveri,KARNATAKA,HASSAN,HASSAN,16.0,GEN,H.D. Devegowda,Janata Dal (Secular),1561336.0,1147172.0,73.5 %,100462.0,8.8%,JDS
361,Haveri,KARNATAKA,HAVERI,HAVERI,10.0,GEN,Udasi Shivakumar Channabasappa,Bharatiya Janta Party,1558749.0,1115968.0,71.6 %,87571.0,7.8%,BJP
362,Gulbarga,KARNATAKA,BIDAR,BIDAR,7.0,GEN,Bhagwanth Khuba,Bharatiya Janta Party,1600962.0,959384.0,59.9 %,92222.0,9.6%,BJP
363,Gulbarga,KARNATAKA,GULBARGA,GULBARGA,5.0,SC,Mallikarjun Kharge,Indian National Congress,1721990.0,997638.0,57.9 %,74733.0,7.5%,INC
364,Gulbarga,KARNATAKA,RAICHUR,RAICHUR,6.0,ST,B.V.Nayak,Indian National Congress,1661606.0,968889.0,58.3 %,1499.0,0.2%,INC
365,Kodagu,KARNATAKA,MYSORE,MYSORE,21.0,GEN,Prathap Simha,Bharatiya Janta Party,1723134.0,1159594.0,67.3 %,31608.0,2.7%,BJP
366,Kolar,KARNATAKA,CHIKKBALLAPUR,CHIKKBALLAPUR,27.0,GEN,M Veerappa Moily,Indian National Congress,1658342.0,1263274.0,76.2 %,9520.0,0.8%,INC
367,Kolar,KARNATAKA,KOLAR,KOLAR,28.0,SC,K.H.Muniyappa,Indian National Congress,1492975.0,1127323.0,75.5 %,47850.0,4.2%,INC
368,Koppal,KARNATAKA,KOPPAL,KOPPAL,8.0,GEN,Karadi Sanganna Amarappa,Bharatiya Janta Party,1535105.0,1006508.0,65.6 %,32414.0,3.2%,BJP
369,Mandya,KARNATAKA,MANDYA,MANDYA,20.0,GEN,C.S.Puttaraju,Janata Dal (Secular),1669262.0,1192638.0,71.5 %,5518.0,0.5%,JDS
370,Mysore,KARNATAKA,CHAMARAJANAGAR,CHAMARAJANAGAR,22.0,SC,R. Dhruvanarayana,Indian National Congress,1555779.0,1133029.0,72.8 %,141182.0,12.5%,INC
371,Mysore,KARNATAKA,MANDYA,MANDYA,20.0,GEN,C.S.Puttaraju,Janata Dal (Secular),1669262.0,1192638.0,71.5 %,5518.0,0.5%,JDS
372,Mysore,KARNATAKA,MYSORE,MYSORE,21.0,GEN,Prathap Simha,Bharatiya Janta Party,1723134.0,1159594.0,67.3 %,31608.0,2.7%,BJP
373,Raichur,KARNATAKA,KOPPAL,KOPPAL,8.0,GEN,Karadi Sanganna Amarappa,Bharatiya Janta Party,1535105.0,1006508.0,65.6 %,32414.0,3.2%,BJP
374,Raichur,KARNATAKA,RAICHUR,RAICHUR,6.0,ST,B.V.Nayak,Indian National Congress,1661606.0,968889.0,58.3 %,1499.0,0.2%,INC
375,Shimoga,KARNATAKA,SHIMOGA,SHIMOGA,14.0,GEN,B. S. Yeddyurappa,Bharatiya Janta Party,1562241.0,1129008.0,72.3 %,363305.0,32.2%,BJP
376,Tumkur,KARNATAKA,BANGALORE RURAL,BANGALORE RURAL,23.0,GEN,D K Suresh,Indian National Congress,2190397.0,1455244.0,66.4 %,231480.0,15.9%,INC
377,Tumkur,KARNATAKA,CHITRADURGA,CHITRADURGA,18.0,SC,B.N.Chandrappa,Indian National Congress,1661272.0,1096499.0,66.0 %,101291.0,9.2%,INC
378,Tumkur,KARNATAKA,TUMKUR,TUMKUR,19.0,GEN,Muddahanumegowda.S.P.,Indian National Congress,1518518.0,1101484.0,72.5 %,74041.0,6.7%,INC
379,Udupi,KARNATAKA,SHIMOGA,SHIMOGA,14.0,GEN,B. S. Yeddyurappa,Bharatiya Janta Party,1562241.0,1129008.0,72.3 %,363305.0,32.2%,BJP
380,Udupi,KARNATAKA,UDUPI CHIKMAGALUR,UDUPI CHIKMAGALUR,15.0,GEN,Shobha Karandlaje,Bharatiya Janta Party,1387295.0,1034108.0,74.5 %,181643.0,17.6%,BJP
381,Uttara Kannada,KARNATAKA,UTTARA KANNADA,UTTARA KANNADA,12.0,GEN,Anantkumar Hegde,Bharatiya Janta Party,1450599.0,1001038.0,69.0 %,140700.0,14.1%,BJP
382,Bijapur,KARNATAKA,BIJAPUR,BIJAPUR,4.0,SC,Ramesh Jigajinagi,Bharatiya Janta Party,1622635.0,966757.0,59.6 %,69819.0,7.2%,BJP
383,Alappuzha,KERALA,ALAPPUZHA,ALAPPUZHA,15.0,GEN,K C Venugopal,Indian National Congress,1271324.0,997464.0,78.5 %,19407.0,1.9%,INC
384,Alappuzha,KERALA,MAVELIKKARA,MAVELIKKARA,16.0,SC,Kodikunnil Suresh,Indian National Congress,1252668.0,889060.0,71.0 %,32737.0,3.7%,INC
385,Ernakulam,KERALA,CHALAKUDY,CHALAKUDY,11.0,GEN,Innocent,Independent,1150491.0,884033.0,76.8 %,13884.0,1.6%,Ind
386,Ernakulam,KERALA,ERNAKULAM,ERNAKULAM,12.0,GEN,Prof. K.V. Thomas,Indian National Congress,1156467.0,850834.0,73.6 %,87047.0,10.2%,INC
387,Ernakulam,KERALA,IDUKKI,IDUKKI,13.0,GEN,Adv.Joice George,Independent,1158735.0,819766.0,70.8 %,50542.0,6.2%,Ind
388,Ernakulam,KERALA,KOTTAYAM,KOTTAYAM,14.0,GEN,Jose K. Mani,Kerala Congress(M),1161463.0,831636.0,71.6 %,120599.0,14.5%,KC(M)
389,Idukki,KERALA,IDUKKI,IDUKKI,13.0,GEN,Adv.Joice George,Independent,1158735.0,819766.0,70.8 %,50542.0,6.2%,Ind
390,Kannur,KERALA,KANNUR,KANNUR,2.0,GEN,P K Sreemathi Teacher,Communist Party Of India (MARXIST),1170266.0,947117.0,80.9 %,6566.0,0.7%,CPIM
391,Kannur,KERALA,KASARAGOD,KASARAGOD,1.0,GEN,P Karunakaran,Communist Party Of India (MARXIST),1243730.0,974215.0,78.3 %,6921.0,0.7%,CPIM
392,Kannur,KERALA,VADAKARA,VADAKARA,3.0,GEN,Mullappally Ramachandran,Indian National Congress,1182504.0,959342.0,81.1 %,3306.0,0.3%,INC
393,Kasaragod,KERALA,KASARAGOD,KASARAGOD,1.0,GEN,P Karunakaran,Communist Party Of India (MARXIST),1243730.0,974215.0,78.3 %,6921.0,0.7%,CPIM
394,Kollam,KERALA,ALAPPUZHA,ALAPPUZHA,15.0,GEN,K C Venugopal,Indian National Congress,1271324.0,997464.0,78.5 %,19407.0,1.9%,INC
395,Kollam,KERALA,KOLLAM,KOLLAM,18.0,GEN,N.K.Premachandran,Revolutionary Socialist Party,1219415.0,879056.0,72.1 %,37649.0,4.3%,RSP
396,Kollam,KERALA,MAVELIKKARA,MAVELIKKARA,16.0,SC,Kodikunnil Suresh,Indian National Congress,1252668.0,889060.0,71.0 %,32737.0,3.7%,INC
397,Kottayam,KERALA,KOTTAYAM,KOTTAYAM,14.0,GEN,Jose K. Mani,Kerala Congress(M),1161463.0,831636.0,71.6 %,120599.0,14.5%,KC(M)
398,Kottayam,KERALA,MAVELIKKARA,MAVELIKKARA,16.0,SC,Kodikunnil Suresh,Indian National Congress,1252668.0,889060.0,71.0 %,32737.0,3.7%,INC
399,Kottayam,KERALA,PATHANAMTHITTA,PATHANAMTHITTA,17.0,GEN,Anto Antony,Indian National Congress,1323906.0,869452.0,65.7 %,56191.0,6.5%,INC
400,Kozhikode,KERALA,KOZHIKODE,KOZHIKODE,5.0,GEN,M .K Raghavan,Indian National Congress,1182484.0,943009.0,79.8 %,16883.0,1.8%,INC
401,Kozhikode,KERALA,VADAKARA,VADAKARA,3.0,GEN,Mullappally Ramachandran,Indian National Congress,1182504.0,959342.0,81.1 %,3306.0,0.3%,INC
402,Kozhikode,KERALA,WAYANAD,WAYANAD,4.0,GEN,M I Shanavas,Indian National Congress,1249420.0,915006.0,73.2 %,20870.0,2.3%,INC
403,Malappuram,KERALA,MALAPPURAM,MALAPPURAM,6.0,GEN,E. Ahamed,Indian Union Muslim League,1198444.0,853467.0,71.2 %,194739.0,22.8%,IUML
404,Malappuram,KERALA,PONNANI,PONNANI,7.0,GEN,E. T. Mohammed Basheer,Indian Union Muslim League,1180789.0,871592.0,73.8 %,25410.0,2.9%,IUML
405,Malappuram,KERALA,WAYANAD,WAYANAD,4.0,GEN,M I Shanavas,Indian National Congress,1249420.0,915006.0,73.2 %,20870.0,2.3%,INC
406,Palakkad,KERALA,ALATHUR,ALATHUR,9.0,SC,P.K.Biju,Communist Party Of India (MARXIST),1216351.0,927228.0,76.2 %,37312.0,4.0%,CPIM
407,Palakkad,KERALA,PALAKKAD,PALAKKAD,8.0,GEN,M B Rajesh,Communist Party Of India (MARXIST),1208758.0,910322.0,75.3 %,105300.0,11.6%,CPIM
408,Palakkad,KERALA,PONNANI,PONNANI,7.0,GEN,E. T. Mohammed Basheer,Indian Union Muslim League,1180789.0,871592.0,73.8 %,25410.0,2.9%,IUML
409,Pathanamthitta,KERALA,PATHANAMTHITTA,PATHANAMTHITTA,17.0,GEN,Anto Antony,Indian National Congress,1323906.0,869452.0,65.7 %,56191.0,6.5%,INC
410,Thiruvananthapuram,KERALA,ATTINGAL,ATTINGAL,19.0,GEN,Dr.A .Sampath,Communist Party Of India (MARXIST),1251398.0,859350.0,68.7 %,69378.0,8.1%,CPIM
411,Thiruvananthapuram,KERALA,THIRUVANANTHAPURAM,THIRUVANANTHAPURAM,20.0,GEN,Dr. Shashi Tharoor,Indian National Congress,1272748.0,873439.0,68.6 %,15470.0,1.8%,INC
412,Thrissur,KERALA,ALATHUR,ALATHUR,9.0,SC,P.K.Biju,Communist Party Of India (MARXIST),1216351.0,927228.0,76.2 %,37312.0,4.0%,CPIM
413,Thrissur,KERALA,CHALAKUDY,CHALAKUDY,11.0,GEN,Innocent,Independent,1150491.0,884033.0,76.8 %,13884.0,1.6%,Ind
414,Thrissur,KERALA,THRISSUR,THRISSUR,10.0,GEN,C. N. Jayadevan,Communist Party Of India,1275288.0,920505.0,72.2 %,38227.0,4.2%,CPI
415,Wayanad,KERALA,WAYANAD,WAYANAD,4.0,GEN,M I Shanavas,Indian National Congress,1249420.0,915006.0,73.2 %,20870.0,2.3%,INC
416,Lakshadweep,LAKSHADWEEP,LAKSHADWEEP,LAKSHADWEEP,1.0,ST,Mohammed Faizal P.P.,Nationalist Congress Party,49922.0,43239.0,86.6 %,1535.0,3.6%,NCP
417,Anuppur,MADHYA PRADESH,SHAHDOL,SHAHDOL,12.0,ST,Dalpat Singh Paraste,Bharatiya Janta Party,1561321.0,968518.0,62.0 %,241301.0,24.9%,BJP
418,Ashoknagar,MADHYA PRADESH,GUNA,GUNA,4.0,GEN,Jyotiraditya M Scindia,Indian National Congress,1605619.0,976629.0,60.8 %,120792.0,12.4%,INC
419,Balaghat,MADHYA PRADESH,BALAGHAT,BALAGHAT,15.0,GEN,Bodhsingh Bhagat,Bharatiya Janta Party,1629769.0,1113364.0,68.3 %,96041.0,8.6%,BJP
420,Barwani,MADHYA PRADESH,KHARGONE,KHARGONE,27.0,ST,Subhash Patel,Bharatiya Janta Party,1703271.0,1152525.0,67.7 %,257879.0,22.4%,BJP
421,Betul,MADHYA PRADESH,BETUL,BETUL,29.0,ST,Jyoti Dhurve,Bharatiya Janta Party,1607822.0,1047719.0,65.2 %,328614.0,31.4%,BJP
422,Bhind,MADHYA PRADESH,BHIND,BHIND,2.0,SC,Dr. Bhagirath Prasad,Bharatiya Janta Party,1598169.0,729084.0,45.6 %,159961.0,21.9%,BJP
423,Bhopal,MADHYA PRADESH,BHOPAL,BHOPAL,19.0,GEN,Alok Sanjar,Bharatiya Janta Party,1956936.0,1130182.0,57.8 %,370696.0,32.8%,BJP
424,Burhanpur,MADHYA PRADESH,KHANDWA,KHANDWA,28.0,GEN,Nandkumar Singh Chouhan (NANDU BHAIYA),Bharatiya Janta Party,1759410.0,1257327.0,71.5 %,259714.0,20.7%,BJP
425,Chhatarpur,MADHYA PRADESH,DAMOH,DAMOH,7.0,GEN,Prahalad Singh Patel,Bharatiya Janta Party,1651106.0,912080.0,55.2 %,213299.0,23.4%,BJP
426,Chhatarpur,MADHYA PRADESH,KHAJURAHO,KHAJURAHO,8.0,GEN,Nagendra Singh,Bharatiya Janta Party,1702794.0,874477.0,51.4 %,247490.0,28.3%,BJP
427,Chhatarpur,MADHYA PRADESH,TIKAMGARH,TIKAMGARH,6.0,SC,Dr. Virendra Kumar,Bharatiya Janta Party,1529003.0,766321.0,50.1 %,208731.0,27.2%,BJP
428,Chhindwara,MADHYA PRADESH,CHHINDWARA,CHHINDWARA,16.0,GEN,Kamal Nath,Indian National Congress,1401277.0,1107498.0,79.0 %,116537.0,10.5%,INC
429,Damoh,MADHYA PRADESH,DAMOH,DAMOH,7.0,GEN,Prahalad Singh Patel,Bharatiya Janta Party,1651106.0,912080.0,55.2 %,213299.0,23.4%,BJP
430,Datia,MADHYA PRADESH,BHIND,BHIND,2.0,SC,Dr. Bhagirath Prasad,Bharatiya Janta Party,1598169.0,729084.0,45.6 %,159961.0,21.9%,BJP
